YAA**Anahim Lake Airport (TC: CAJ4)*Anahim Lake, British Columbia, Canada
YAB*CYAB*Arctic Bay Airport (TC: CJX7)*Arctic Bay, Nunavut, Canada
YAC*CYAC*Cat Lake Airport*Cat Lake, Ontario, Canada
YAD**Moose Lake Airport (TC: CJB4)*Moose Lake, Manitoba, Canada
YAG*CYAG*Fort Frances Municipal Airport*Fort Frances, Ontario, Canada
YAH*CYAH*La Grande-4 Airport*La Grande-4, Quebec, Canada
YAI*SCCH*General Bernardo O'Higgins Airport*Chillán, Chile
YAJ**Lyall Harbour Seaplane Base*Saturna Island, British Columbia, Canada
YAK*PAYA*Yakutat Airport*Yakutat, Alaska, United States
YAL*CYAL*Alert Bay Airport*Alert Bay, British Columbia, Canada
YAM*CYAM*Sault Ste. Marie Airport*Sault Ste. Marie, Ontario, Canada
YAN*FZIR*Yangambi Airport*Yangambi, Democratic Republic of the Congo
YAO*FKKY*Yaoundé Airport*Yaoundé, Cameroon
YAP*PTYA*Yap International Airport (FAA: T11)*Yap, Federated States of Micronesia
YAQ**Maple Bay Seaplane Base*Maple Bay, British Columbia, Canada
YAR*CYAD*La Grande-3 Airport*La Grande-3, Quebec, Canada
YAS*NFSW*Yasawa Island Airport*Yasawa, Fiji
YAT*CYAT*Attawapiskat Airport*Attawapiskat, Ontario, Canada
YAU**Kattiniq/Donaldson Airport (TC: CTP9)*Raglan Mine, Quebec, Canada
YAV**Mayne Island Water Aerodrome (Miner's Bay Seaplane Base) (TC: CAW7)*Mayne Island, British Columbia, Canada
YAX**Angling Lake/Wapekeka Airport (TC: CKB6)*Wapekeka, Ontario, Canada
YAY*CYAY*St. Anthony Airport*St. Anthony, Newfoundland and Labrador, Canada
YAZ*CYAZ*Tofino/Long Beach Airport*Tofino, British Columbia, Canada
YBA*CYBA*Banff Airport*Banff, Alberta, Canada
YBB*CYBB*Kugaaruk Airport*Kugaaruk, Nunavut, Canada
YBC*CYBC*Baie-Comeau Airport*Baie-Comeau, Quebec, Canada
YBE*CYBE*Uranium City Airport*Uranium City, Saskatchewan, Canada
YBF**Bamfield Water Aerodrome (TC: CAE9)*Bamfield, British Columbia, Canada
YBG*CYBG*Canadian Forces Base Bagotville*La Baie (Bagotville), Quebec, Canada
YBH*CYBH*Bull Harbour Waterdrome*Bull Harbour, British Columbia, Canada
YBI**Black Tickle Airport (TC: CCE4)*Black Tickle, Newfoundland and Labrador, Canada
YBJ**Baie-Johan-Beetz Seaplane Base*Baie-Johan-Beetz, Quebec, Canada
YBK*CYBK*Baker Lake Airport*Baker Lake, Nunavut, Canada
